term	property		EN	ES	FR	KO	PT
	title		Economic Activity	Actividad económica	Secteur économique	경제활동	
	description		The set of economic activities defined by the ICA (L2) to be used with the terms economicSector, primarySector				
ICA10	prefLabel		Agriculture 	Agricultura	Agriculture	농업	
ICA20	prefLabel		Dairy 	Industria lechera	Industrie laitière	축산업	
ICA30	prefLabel		Forestry 	Silvicultura	Foresterie	임업	
ICA40	prefLabel		Irrigation 	Riego	Irrigation	관개사업	
ICA50	prefLabel		Fishing 	Pesca	Pêche	어업	
ICA60	prefLabel		Artisans 	Artesanía	Artisanat	수공업	
ICA70	prefLabel		Construction 	Construcción	Construction	건설업	
ICA80	prefLabel		Industry 	Industria	Industrie	산업	
ICA90	prefLabel		Manufacturing 	Fabricación	Industrie manufacturière	제조업	
ICA100	prefLabel		Mining 	Minería	Exploitation minière	공업	
ICA110	prefLabel		Professional 	Actividades profesionales	Cadres et professions libérales	전문직	
ICA120	prefLabel		Service 	Servicios	Services	서비스업	
ICA130	prefLabel		Tourism 	Turismo	Tourisme	관광업	
ICA140	prefLabel		Financial Services 	Servicios financieros	Services financiers	금융 서비스업	
ICA150	prefLabel		Insurance	Seguros	Assurance	보험	
ICA160	prefLabel		Education 	Educación	Éducation	교육	
ICA170	prefLabel		Health 	Salud	Santé	보건	
ICA180	prefLabel		Community 	Servicios comunitarios	Action communautaire	공동체	
ICA190	prefLabel		Social 	Acción social	Action sociale	사회	
ICA200	prefLabel		Social Service 	Servicios sociales	Services sociaux	사회 서비스업	
ICA210	prefLabel		Housing 	Vivienda	Logement	주택	
ICA220	prefLabel		Transport 	Transporte	Transports	운송	
ICA230	prefLabel		Utilities 	Servicios públicos	Services publics	공공서비스	
ICA240	prefLabel		Retail 	Comercio minorista	Grande distribution	소매	
ICA250	prefLabel		Production 	Producción	Production	생산	
ICA260	prefLabel		Wholesale and retail trade 	Comercio mayorista y minorista	Vente de gros et de détail	도매와 소매 거래	
ICA270	prefLabel		Education / health / social work	Educación, salud y trabajo social	Éducation / Santé / Travail social	교육/보건/사회사업	
ICA280	prefLabel		Other Services 	Otros servicios	Autres services	기타 서비스	
ICA290	prefLabel		All (Services)	Todos los servicios	Tous (services)	모든(서비스)	
