term	property		EN	ES	FR	PT
	title	Activities (Modified)				
	description	A modified activity vocabulary for SSE				
AM10	prefLabel		Arts, Media, Culture & Leisure			
AM10	altLabel	A				
AM10	scopeNote					
AM100	prefLabel		Money & Finance			
AM100	altLabel	J				
AM100	scopeNote					
AM110	prefLabel		Nature, Conservation & Environment			
AM110	altLabel	K				
AM110	scopeNote					
AM120	prefLabel		Reduce, Reuse, Repair & Recycle			
AM120	altLabel	L				
AM120	scopeNote					
AM130	prefLabel		Agriculture			
AM130	altLabel	M				
AM130	scopeNote					
AM140	prefLabel		Industry			
AM140	altLabel	N				
AM140	scopeNote					
AM150	prefLabel		Utilities			
AM150	altLabel	O				
AM150	scopeNote					
AM160	prefLabel		Transport			
AM160	altLabel	P				
AM160	scopeNote					
AM20	prefLabel		Campaigning, Activism & Advocacy			
AM20	altLabel	B				
AM20	scopeNote					
AM30	prefLabel		Community & Collective Spaces			
AM30	altLabel	C				
AM30	scopeNote					
AM40	prefLabel		Education			
AM40	altLabel	D				
AM40	scopeNote					
AM50	prefLabel		Energy			
AM50	altLabel	E				
AM50	scopeNote					
AM60	prefLabel		Food			
AM60	altLabel	F				
AM60	scopeNote					
AM70	prefLabel		Goods & Services			
AM70	altLabel	G				
AM70	scopeNote					
AM80	prefLabel		Health, Social Care & Wellbeing			
AM80	altLabel	H				
AM80	scopeNote					
AM90	prefLabel		Housing			
AM90	altLabel	I				
AM90	scopeNote					
