term	property		EN	ES	FR	KO	PT
	title		Activities				
	description		Activities controlled vocabulary for SSE				
a01	prefLabel		Agriculture and environment	Agricultura y medio ambiente	Agriculture et environnement		Agricultura e ambiente
a01	altLabel		Agriculture, forestry and fishing				
a01	scopeNote		Integrates the sectors of agriculture, forestry and fishing	Integra los sectores de la agricultura, la silvicultura y la pesca	Intègre les secteurs de l'agriculture, la sylviculture et la pêche		Integra os setores da agricultura, silvicultura e pesca
a02	prefLabel		Mining and quarrying	Mineria y canteras	Mines et carrières		Indústria extrativa
a02	altLabel		Mining and quarrying				
a02	scopeNote		Integra sectors of the extractive industry	Integra los sectores de la industria extractiva	Integra secteurs de l'industrie extractive		Integra os setores da Indústria extrativista
a03	prefLabel		Craftmanship and manufacturing	Producción industrial y artesanal	Artisanat et manifacturier		Artesanato e manufatura
a03	altLabel		Manufacturing				
a03	scopeNote		Integrates the manufacturing sectors	Integra los sectores manufactureros	Intègre les secteurs de la fabrication		Integra os setores de fabrico
a04	prefLabel		Energy production and distribution	Producción y distribución de energía	production et distribution de l'énergie		Produção e distribuição de energia
a04	altLabel		Electricity, gas, steam and air conditioning supply				
a04	scopeNote		Includes the sectors of electricity, gas, steam and air conditioning	Corresponde a los sectores de acondicionamiento de electricidad, gas, vapor y aire	Comprend les secteurs du conditionnement d'électricité, de gaz, de vapeur et d'air		Integra os setores de electricidade, gás, vapor e ar condicionado
a05	prefLabel		Recycling, waste treatment, water cycle and ecological restoration	Reciclage, tratamento de basura, ciclo de agua y retauración ecologica	Recyclage, traitement des déchets, cycle de l'eau et la restauration écologique		Reciclagem, tratamento de resíduos, ciclo da água e restauração ecológica
a05	altLabel		Water supply; sewerage, waste management and remediation tivities				
a05	scopeNote		Includes the sectors of water supply sanitation activities, waste management and remediation	Corresponde a los sectores de las actividades de saneamiento de agua de abastecimiento, la gestión de residuos y descontaminación	Comprend les secteurs d'activités d'approvisionnement en eau assainissement, gestion des déchets et d'assainissement		Integra os setores de abastecimento de água. atividades de saneamento, gestão de resíduos, e remediação
a06	prefLabel		Construction, public works and refurbishing	Construcción, trabajos publicos y restauración	Construction, travaux publics et remise à neuf		Construção, obras públicas e recondicionamento
a06	altLabel		Construction				
a06	scopeNote		Includes the sectors of construction	Incluye los sectores de la construcción	Comprend les secteurs de la construction		Integra os setores de construção
a07	prefLabel		Trade and distribution	Distribución y comercialización	Commerce et distribution		Comércio e distribuição
a07	altLabel		Wholesale and retail trade; repair of motor vehicles and motorcycles				
a07	scopeNote		Includes the sectors of trade and retail trade, repair of motor vehicles and motorcycles	Corresponde a los sectores del comercio y el comercio al por menor, reparación de vehículos de motor y motocicletas	Comprend les secteurs du commerce et du commerce de détail, réparation de véhicules automobiles et de motocycles		Integra os setores de comércio e retalho, reparação de veículos automóveis e motociclos
a08	prefLabel		Transport, logistics and storage	Transporte, logística y almacenamiento	Transport, logistique et entreposage		Transporte, logística e armazenagem
a08	altLabel		Transportation and storage				
a08	scopeNote		Includes the sectors of transport and storage	Corresponde a los sectores de transporte y almacenamiento	Comprend les secteurs du transport et de stockage		Integra os setores de transporte e armazenamento
a09	prefLabel		Hospitality and food service activities	Restauracion y hosteleria	Restauration, hôtellerie, catering		Atividades dos serviços de hotelaria e alimentação
a09	altLabel		Accommodation and food service activities				
a09	scopeNote		Integrates the industry sectors of accommodation and food services	Integra los sectores de la industria de servicios de alojamiento y comida	Intègre les secteurs de l'industrie des services d'hébergement et de nourriture		Integra os setores de atividades dos serviços de alojamento e restauração
a10	prefLabel		Information, communication and technologies	Información, comunicación y tecnologías	Information, communication et technologies		Informação, comunicação e tecnologias
a10	altLabel		Information and communication				
a10	scopeNote		Integrates information and communication sectors	Integra los sectores de información y comunicación	Intègre secteurs de l'information et de la communication		Integra os setores de informação e comunicação
a11	prefLabel		Financial, insurance and related activities	Actividades financieras, de seguros y relacionados	Finance, assurance et activités connexes		Atividades de seguros, financeira e afins
a11	altLabel		Financial and insurance activities				
a11	scopeNote		Includes the sectors of financial and insurance activities	Incluye los sectores de actividades financieras y de seguros	Comprend les secteurs des activités financières et d'assurance		Integra os setores de atividades financeiras e de seguros
a12	prefLabel		Habitat and housing	Hábitat y la vivienda	Habitat et logement		Habitat e habitação
a12	altLabel		Real estate activities				
