term	property		EN	ES	FR	KO	PT
	title		Structure Type	Tipo de estructura	Type de structure	구조 유형	
	description		Alternative SSE Initiative or SSE Network Legal Form controlled vocabulary for SSE				
OS10	prefLabel		Community group (formal or informal)				
OS100	prefLabel		Multi-stakeholder cooperative	Cooperativas de múltiples partes interesadas	Coopératives d'intérêt collectif	다중이해관계자	
OS110	prefLabel		Secondary cooperative				
OS115	prefLabel		Cooperative	Cooperativa	Coopérative	협동조합	
OS120	prefLabel		Community Interest Company (CIC)				
OS130	prefLabel		Community Benefit Society / Industrial and Provident Society (IPS)				
OS140	prefLabel		Employee trust				
OS150	prefLabel		Self-employed				
OS160	prefLabel		Unincorporated				
OS170	prefLabel		Mutual 	Mutual	Mutuelle	상호회사	
OS180	prefLabel		National apex 	Organismo federativo nacional	Organisation faîtière nationale	 국가 정상	
OS190	prefLabel		National sectoral federation or union 	Sindicato o federación nacional sectorial	Union ou fédération nationale sectorielle	국가 차원의 연맹 및 노동조합	
OS20	prefLabel		Not-for-profit organisation				
OS200	prefLabel		Regional, state or provincial level federation or union 	Federación o unión sectorial, estatal o regional	Union ou fédération régionale, nationale ou infranationale	지역, 주, 지자체 수준의 연맹 및 노동조합	
OS210	prefLabel		Cooperative group 	Grupo cooperativo	Groupe coopératif	협동조합 그룹	
OS220	prefLabel		Government agency/body 	Entidad gubernamental	Agence/autorité gouvernementale	정부기관	
OS230	prefLabel		Supranational	Organización supranacional	Organisation supranationale	국제조직	
OS240	prefLabel		Cooperative of cooperatives / mutuals 	Cooperativa de cooperativas/mutuales	Coopérative de coopératives/mutuelles	협동조합간 협동	
OS30	prefLabel		Social enterprise				
OS40	prefLabel		Charity				
OS50	prefLabel		Company (Other)	Empresa (otra)	Entreprise (autre)	회사(기타)	
OS60	prefLabel		Workers cooperative	Cooperativas de trabajo	Coopératives de travail associé	노동자	
OS70	prefLabel		Housing cooperative				
OS80	prefLabel		Consumer/User coops	Cooperativas de consumo	Coopératives de consommateurs		
OS90	prefLabel		Producer cooperative	Cooperativas de productores	Coopératives de producteurs	생산자	
