term	property		EN	ES	FR	PT	KO
	base_uri	http://purl.org/essglobal/standard/activities/					
	dc:contributor	Ana Alice Baptista (analice@dsi.uminho.pt);Daniel Tygel (dtygel@gmail.com);Jason Nardi (jason.nardi@gmail.com);Marc Alphandery (marc.alphandery@wanadoo.fr);Mariana Malta (mariana@iscap.ipp.pt)					
	dc:creator	César Araújo (cesar_araujo@sapo.pt);Leonardo Cruz (leonardopscruz@gmail.com);Rodrigo Alves (rasalves@gmail.com);Sérgio Vale (gks_sergio@hotmail.com)					
	dc:description		Activities controlled vocabulary for SSE				
	dc:language	en-en					
	dc:modified	2014-01-25					
	dc:publisher	http://www.ripess.org/					
	dc:relation	http://www.dsi.uminho.pt/					
	dc:title		Activities				
	dcterms:created	2012-02-20					
	dcterms:publisher	ESSGLOBAL					
	rdf:type	http://www.w3.org/2004/02/skos/core#ConceptScheme					
a01	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a01	skos:altLabel	A	Agriculture, forestry and fishing				
a01	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a01	skos:prefLabel		Agriculture and environment	Agricultura y medio ambiente	Agriculture et environnement	Agricultura e ambiente	
a01	skos:scopeNote		Integrates the sectors of agriculture, forestry and fishing	Integra los sectores de la agricultura, la silvicultura y la pesca	Intègre les secteurs de l'agriculture, la sylviculture et la pêche	Integra os setores da agricultura, silvicultura e pesca	
a02	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a02	skos:altLabel	B	Mining and quarrying				
a02	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a02	skos:prefLabel		Mining and quarrying	Mineria y canteras	Mines et carrières	Indústria extrativa	
a02	skos:scopeNote		Integra sectors of the extractive industry	Integra los sectores de la industria extractiva	Integra secteurs de l'industrie extractive	Integra os setores da Indústria extrativista	
a03	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a03	skos:altLabel	C	Manufacturing				
a03	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a03	skos:prefLabel		Craftmanship and manufacturing	Producción industrial y artesanal	Artisanat et manifacturier	Artesanato e manufatura	
a03	skos:scopeNote		Integrates the manufacturing sectors	Integra los sectores manufactureros	Intègre les secteurs de la fabrication	Integra os setores de fabrico	
a04	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a04	skos:altLabel	D	Electricity, gas, steam and air conditioning supply				
a04	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a04	skos:prefLabel		Energy production and distribution	Producción y distribución de energía	production et distribution de l'énergie	Produção e distribuição de energia	
a04	skos:scopeNote		Includes the sectors of electricity, gas, steam and air conditioning	Corresponde a los sectores de acondicionamiento de electricidad, gas, vapor y aire	Comprend les secteurs du conditionnement d'électricité, de gaz, de vapeur et d'air	Integra os setores de electricidade, gás, vapor e ar condicionado	
a05	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a05	skos:altLabel	E	Water supply\; sewerage, waste management and remediation activities				
a05	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a05	skos:prefLabel		Recycling, waste treatment, water cycle and ecological restoration	Reciclage, tratamento de basura, ciclo de agua y retauración ecologica	Recyclage, traitement des déchets, cycle de l'eau et la restauration écologique	Reciclagem, tratamento de resíduos, ciclo da água e restauração ecológica	
a05	skos:scopeNote		Includes the sectors of water supply sanitation activities, waste management and remediation	Corresponde a los sectores de las actividades de saneamiento de agua de abastecimiento, la gestión de residuos y descontaminación	Comprend les secteurs d'activités d'approvisionnement en eau assainissement, gestion des déchets et d'assainissement	Integra os setores de abastecimento de água. atividades de saneamento, gestão de resíduos, e remediação	
a06	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a06	skos:altLabel	F	Construction				
a06	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a06	skos:prefLabel		Construction, public works and refurbishing	Construcción, trabajos publicos y restauración	Construction, travaux publics et remise à neuf	Construção, obras públicas e recondicionamento	
a06	skos:scopeNote		Includes the sectors of construction	Incluye los sectores de la construcción	Comprend les secteurs de la construction	Integra os setores de construção	
a07	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a07	skos:altLabel	G	Wholesale and retail trade\; repair of motor vehicles and motorcycles				
a07	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a07	skos:prefLabel		Trade and distribution	Distribución y comercialización	Commerce et distribution	Comércio e distribuição	
a07	skos:scopeNote		Includes the sectors of trade and retail trade, repair of motor vehicles and motorcycles	Corresponde a los sectores del comercio y el comercio al por menor, reparación de vehículos de motor y motocicletas	Comprend les secteurs du commerce et du commerce de détail, réparation de véhicules automobiles et de motocycles	Integra os setores de comércio e retalho, reparação de veículos automóveis e motociclos	
a08	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
a08	skos:altLabel	H	Transportation and storage				
a08	skos:inScheme	http://purl.org/essglobal/standard/activities/					
a08	skos:prefLabel		Transport, logistics and storage	Transporte, logística y almacenamiento	Transport, logistique et entreposage	Transporte, logística e armazenagem	
