term	property		EN	ES	FR	KO	PT
	base_uri	http://purl.org/essglobal/standard/qualifiers/					
	dc:contributor	Ana Alice Baptista (analice@dsi.uminho.pt);Daniel Tygel (dtygel@gmail.com);Jason Nardi (jason.nardi@gmail.com);Marc Alphandery (marc.alphandery@wanadoo.fr);Mariana Malta (mariana@iscap.ipp.pt)					
	dc:creator	Cesar Araujo (cesar_araujo@sapo.pt);Leonardo Cruz (leonardopscruz@gmail.com);Rodrigo Alves (rasalves@gmail.com);Sergio Vale (gks_sergio@hotmail.com)					
	dc:description	Qualifiers controlled vocabulary for SSE	Qualifiers controlled vocabulary for SSE				
	dc:language	en-en					
	dc:publisher	http://www.ripess.org/					
	dc:relation	http://www.dsi.uminho.pt/					
	dc:title	Qualifiers	Qualifiers	Qualifiers	Qualifiers	Qualifiers	Qualifiers
	dcterms:created	2012-02-20					
	dcterms:modified	2014-01-25					
	dcterms:publisher	ESSGLOBAL					
	rdf:type	http://www.w3.org/2004/02/skos/core#ConceptScheme					
	skos:hasTopConcept	http://purl.org/essglobal/standard/qualifiers/q01;http://purl.org/essglobal/standard/qualifiers/q02;http://purl.org/essglobal/standard/qualifiers/q03;http://purl.org/essglobal/standard/qualifiers/q04;http://purl.org/essglobal/standard/qualifiers/q05;http://purl.org/essglobal/standard/qualifiers/q06;http://purl.org/essglobal/standard/qualifiers/q07;http://purl.org/essglobal/standard/qualifiers/q08;http://purl.org/essglobal/standard/qualifiers/q09					
Agroecological	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Agroecological	skos:broader	http://purl.org/essglobal/standard/qualifiers/q01					
Agroecological	skos:definition		Agriculture Products or Services that ally social justice (no workers exploration) and organic farming.				
Agroecological	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Agroecological	skos:prefLabel		Agroecological				
Agroextrativism	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Agroextrativism	skos:broader	http://purl.org/essglobal/standard/qualifiers/q01					
Agroextrativism	skos:definition		Extractivism of natural fruits, seeds and other plants that's done in a traditional manner without harming the biodiversity and natural environment				
Agroextrativism	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Agroextrativism	skos:prefLabel		Agroextrativism				
Animalwelfare	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Animalwelfare	skos:broader	http://purl.org/essglobal/standard/qualifiers/q01					
Animalwelfare	skos:definition		Products and Services which are developped in a process that doesn't do any harm to animals, like animal testing or the usage of animal material as inputs.				
Animalwelfare	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Animalwelfare	skos:prefLabel		Animal Welfare				
Fairtrade	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Fairtrade	skos:broader	http://purl.org/essglobal/standard/qualifiers/q04					
Fairtrade	skos:definition		Products and Services which are offered in a trading chain that respects several criteria and code of conducts from production to the consumption, like direct relashionship among consummers and producers, international fair trade, open/transparent price composition, trading process owned by the producers, etc.				
Fairtrade	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Fairtrade	skos:prefLabel		Fair trade				
FreeCulture	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
FreeCulture	skos:broader	http://purl.org/essglobal/standard/qualifiers/q07					
FreeCulture	skos:definition		Artistic and Cultural Products which have licenses like the Creative Commons and similars, where it can be copied and in some times transformed with some conditions that vary, like citing the original author, prohibition of commercial trading, etc.				
FreeCulture	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
FreeCulture	skos:prefLabel		Free Culture				
FreeKnowledgeorSoftware	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
FreeKnowledgeorSoftware	skos:broader	http://purl.org/essglobal/standard/qualifiers/q07					
FreeKnowledgeorSoftware	skos:definition		Products, like software and machinery, that are licensed in a way that allows the public to know the source code (the way it has been produced) and to produce derivatives, under some conditions like citing the original author and having to also use the same license,as in GPL.				
FreeKnowledgeorSoftware	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
FreeKnowledgeorSoftware	skos:prefLabel		Free Knowledge or Software				
FromOriginalorIndigenousPeople	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
FromOriginalorIndigenousPeople	skos:broader	http://purl.org/essglobal/standard/qualifiers/q06					
FromOriginalorIndigenousPeople	skos:definition		Products and Services developped by original or indigenous people.				
FromOriginalorIndigenousPeople	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
FromOriginalorIndigenousPeople	skos:prefLabel		From Original or Indigenous People				
LocalorFromCommunity	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
LocalorFromCommunity	skos:broader	http://purl.org/essglobal/standard/qualifiers/q04					
LocalorFromCommunity	skos:definition		Products and Services issued and traded locally.				
LocalorFromCommunity	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
LocalorFromCommunity	skos:prefLabel		Local or From Community				
Madefromrecycledorrecoveredmaterial	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Madefromrecycledorrecoveredmaterial	skos:broader	http://purl.org/essglobal/standard/qualifiers/q01					
Madefromrecycledorrecoveredmaterial	skos:definition		Products and Services that use inputs that are recovered or recycled, totally or partially.				
Madefromrecycledorrecoveredmaterial	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Madefromrecycledorrecoveredmaterial	skos:prefLabel		Made from Recycled or Recovered Material				
Naturalcosmeticsandherbalmedicines	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Naturalcosmeticsandherbalmedicines	skos:broader	http://purl.org/essglobal/standard/qualifiers/q01					
Naturalcosmeticsandherbalmedicines	skos:definition		Medicinal os Cosmetic Products and Services that use only natural essences, without human made chemical compounds.				
Naturalcosmeticsandherbalmedicines	skos:inScheme	http://purl.org/essglobal/standard/qualifiers/					
Naturalcosmeticsandherbalmedicines	skos:prefLabel		Natural Cosmetics and Herbal Medicines				
Organic	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
Organic	skos:broader	http://purl.org/essglobal/standard/qualifiers/q01					
