term	property		EN	ES	FR	PT	KO
	base_uri	http://purl.org/essglobal/standard/themes/					
	dc:contributor	Ana Alice Baptista (analice@dsi.uminho.pt);Daniel Tygel (dtygel@gmail.com);Jason Nardi (jason.nardi@gmail.com);Marc Alphandery (marc.alphandery@wanadoo.fr);Mariana Malta (mariana@iscap.ipp.pt)					
	dc:creator	César Araújo (cesar_araujo@sapo.pt);Leonardo Cruz (leonardopscruz@gmail.com);Rodrigo Alves (rasalves@gmail.com);Sérgio Vale (gks_sergio@hotmail.com)					
	dc:description	Themes controlled vocabulary for SSE					
	dc:language	en-en					
	dc:publisher	http://www.ripess.org/					
	dc:relation	http://www.dsi.uminho.pt/					
	dc:title	Themes					
	dcterms:created	2012-02-20					
	dcterms:publisher	ESSGLOBAL					
	rdf:type	http://www.w3.org/2004/02/skos/core#ConceptScheme					
T1	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
T1	skos:altLabel		Housing and mobility				
T1	skos:inScheme	http://purl.org/essglobal/standard/themes/					
T1	skos:prefLabel		Transition towns and housing rights	Ciudades en transición y derecho a la vivienda	Villes en transition et droit a l'habitation	Cidades em Transição e direito à moradia	
T1	skos:scopeNote		Integrates thematic about housing and mobility	Integra la temática sobre la vivienda y la movilidad	Intègre thématique sur le logement et la mobilité	Integra as tematicas acerca da habitacao e mobilidade	
T2	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
T2	skos:altLabel		Food and agriculture				
T2	skos:inScheme	http://purl.org/essglobal/standard/themes/					
T2	skos:prefLabel		Food souvereignty and peasant's farming agriculture	Soberanía alimentaria y Agricultura campesina	Souveraineté alimentaire et Agriculture paysanne	A soberania alimentar e agricultura camponesa da agricultura	
T2	skos:scopeNote		It integrates the thematic on food and agriculture	Integra la temática sobre la alimentación y la agricultura	Il intègre la thématique sur l'alimentation et l'agriculture	Integra as tematicas acerca de alimento e agricultura	
T3	rdf:type	http://www.w3.org/2004/02/skos/core#Concept					
T3	skos:altLabel		Finance				
T3	skos:inScheme	http://purl.org/essglobal/standard/themes/					
T3	skos:prefLabel		Social and solidarity finances	Finanzas Solidarias	Finances Solidaires	Finanças sociais e de solidariedade	
