term	property		EN	ES	FR	KO	PT
	title		Qualifiers				
	description		Qualifiers controlled vocabulary for SSE				
Agroecological	definition		Agriculture Products or Services that ally social justice (no workers exploration) and organic farming.				
Agroecological	prefLabel		Agroecological				
Agroextrativism	definition		Extractivism of natural fruits, seeds and other plants that's done in a traditional manner without harming the biodiversity and natural environment				
Agroextrativism	prefLabel		Agroextrativism				
Animalwelfare	definition		Products and Services which are developped in a process that doesn't do any harm to animals, like animal testing or the usage of animal material as inputs.				
Animalwelfare	prefLabel		Animal Welfare				
Fairtrade	definition		Products and Services which are offered in a trading chain that respects several criteria and code of conducts from production to the consumption, like direct relashionship among consummers and producers, international fair trade, open/transparent price composition, trading process owned by the producers, etc.				
Fairtrade	prefLabel		Fair trade				
FreeCulture	definition		Artistic and Cultural Products which have licenses like the Creative Commons and similars, where it can be copied and in some times transformed with some conditions that vary, like citing the original author, prohibition of commercial trading, etc.				
FreeCulture	prefLabel		Free Culture				
FreeKnowledgeorSoftware	definition		Products, like software and machinery, that are licensed in a way that allows the public to know the source code (the way it has been produced) and to produce derivatives, under some conditions like citing the original author and having to also use the same license,as in GPL.				
FreeKnowledgeorSoftware	prefLabel		Free Knowledge or Software				
FromOriginalorIndigenousPeople	definition		Products and Services developped by original or indigenous people.				
FromOriginalorIndigenousPeople	prefLabel		From Original or Indigenous People				
LocalorFromCommunity	definition		Products and Services issued and traded locally.				
LocalorFromCommunity	prefLabel		Local or From Community				
Madefromrecycledorrecoveredmaterial	definition		Products and Services that use inputs that are recovered or recycled, totally or partially.				
Madefromrecycledorrecoveredmaterial	prefLabel		Made from Recycled or Recovered Material				
Naturalcosmeticsandherbalmedicines	definition		Medicinal os Cosmetic Products and Services that use only natural essences, without human made chemical compounds.				
Naturalcosmeticsandherbalmedicines	prefLabel		Natural Cosmetics and Herbal Medicines				
Organic	definition		Agricultural Products issued from organic farming, without the usage of agrotoxics and other chemical based seeds, fertilizer or other inputs. It might also be Products and Services that use only organic agricultural products as inputs.				
Organic	prefLabel		Organic				
PeasantorFamilyAgriculture	definition		Products and Services developped by small farmers, normally organised in the community, and normally families, that might be using traditional ways to do farming.				
PeasantorFamilyAgriculture	prefLabel		Peasant or Family Agriculture				
Selfmanagement	definition		SSE enterprise owned by the workers. Decisions about the initiative and the work are done by the same people.				
Selfmanagement	prefLabel		Self-management				
Socialinsertioninitiatives	definition		Unemployed people work during a established timespan in an insertion enterprise to be better qualified for the market.				
Socialinsertioninitiatives	prefLabel		Social insertion initiatives				
q01	definition		Products and Services which are developed in a process that is focused on environmental sustainability, like the usage of renewable energy, recycling, ecologic packing, reused inputs, etc.				
q01	prefLabel		Ecologically or Environmentally Sustainable				
q02	definition		Work relations, structure and conditions which are democratic and decent.				
q02	prefLabel		Democratic and decent working conditions				
q03	definition		Products and Services developed by people normally marginalised from society and the work market, like for example unemployed people, immigrants, disabled, ex-prisonners.				
q03	prefLabel		Socially fair				
q04	definition		Products and Services which are democratic and fair in the economic level, bringing autonomy to local SSE enterprises, fair relations along chains and contributing for a sovreign, territorial and solidarity development.				
q04	prefLabel		Economically democratic and sovereign				
q05	definition		Products and Services developped in a way where women are empowered, as in women owned SSE initiatives or initiatives that have an internal charter granting gender equity in all steps of the economic activity.				
q05	prefLabel		Gender Equity				
q06	definition		"SSE initiatives from local and traditional communities, indigenous people, ""campesinat""."				
q06	prefLabel		From original / indigenous people or traditional communities				
q07	definition		The outcomes of the work have licenses which allow for reproduction and sharing of knowledge and culture.				
q07	prefLabel		Commons and free knowledge/free culture				
q08	definition		Products and Services that are not industrial, being made in a traditional and artisanal way.				
q08	prefLabel		Handicraft				
q09	definition		Major supporters of co-ops.				
q09	prefLabel		Coop Promoter/Supporter	Promotor o impulsor de cooperativas	Organisation de défense/de promotion des coopératives	협동조합 지원자	
